0.023773,0.28058,0.0030732,0.03165,0.76806,1.2901
0.02747,0.25398,0.0015993,0.0092144,0.71831,1.042
0.01758,0.24133,0.00035747,0.006903,0.76115,1.1783
0.011084,0.22133,0.00038933,0.0039779,0.69835,1.0298
0.025754,0.20898,0.00045807,0.0025205,0.84072,1.0847
0.017581,0.18297,0.0001248,0.0022521,0.94023,1.0505
0.027331,0.17259,0.00011246,0.0022719,0.8715,1.15
0.032629,0.15564,0.0002453,0.0012547,0.83243,0.96129
0.04807,0.1605,2.18E-05,0.001216,0.87296,1.1267
0.038412,0.13646,0.00012484,0.0012704,0.91416,1.2224
